ingredient,raw,n_sources,herb_hits,mapped,CHP_ID,chinese,english,how,note,formula_n,has_props,review_needed,review_note,ambiguous,alt_candidates,norm_how
메이플시럽,메이플시럽,3,6,Y,CHP04407,五龙皮,Maple Bark,한자사전,메이플시럽→五龙皮,0,Y,Y,五龙皮=Maple Bark(단풍나무 껍질) — 시럽이 아니라 수피. 성미 참고용,N,,원형
고구마,고구마,3,6,Y,CHP01126,甘薯,Dioscorea esculenta,한자사전,고구마→甘薯,0,Y,N,,N,,원형
요거트,요거트,3,6,N,,,,실패,,0,N,N,,N,,원형
닭육수,닭육수,2,5,N,,,,실패,,0,N,N,,N,,원형
감자,감자,4,5,Y,CHP02583,马铃薯,Solanum tuberosum,한자사전,감자→马铃薯,0,Y,N,,N,,원형
된장,miso|미소된장,4,5,Y,CHP00630,淡豆豉,Soybean,한자사전,된장→豆豉,54,Y,N,,N,,동의어|영문사전
만다린오렌지,만다린 오렌지,1,5,Y,CHP02035,橘子,Mandarin Orange,한자사전,만다린오렌지→橘子,0,Y,Y,橘子 — 오렌지(甜橙)와 구분 필요,N,,원형
녹차,녹차,2,5,Y,CHP00333,茶叶,Tea Plant,한자사전,녹차→茶叶,34,Y,N,,N,,원형
구기자,구기자,2,5,Y,CHP01236,枸杞子,Goji Berry Seed,한자사전,구기자→枸杞子,664,Y,N,,N,,원형
깨,참깨|참깨(참기름·깨)|흑임자,2,5,Y,CHP05104,野芝麻,Sesame,한자사전,깨→芝麻,49,Y,N,,N,,괄호제거+동의어|동의어
새우,새우,2,5,N,,,,실패,,0,N,N,,N,,원형
우유,우유,2,4,N,,,,실패,,0,N,N,,N,,원형
크림,double cream|크림,2,4,N,,,,실패,,0,N,N,,N,,영문사전|원형
소금,소금,1,4,Y,CHP06193,食盐,Sal,한자사전,소금→食盐,7,Y,N,,N,,원형
무,무,3,4,Y,CHP02178,莱菔,Radish,한자사전,무→莱菔,0,Y,N,,N,,원형
카이엔페퍼,카이엔페퍼,2,4,Y,CHP02172,辣椒,Capsicum annuum,한자사전,카이엔페퍼→辣椒,31,Y,N,,N,,원형
오이,오이,4,4,Y,CHP01644,黄瓜,Cucumber,한자사전,오이→黄瓜,0,Y,N,,N,,원형
레몬그라스,레몬그라스,3,4,Y,CHP04571,香茅,Cymbopogon citratus,한자사전,레몬그라스→香茅,6,Y,N,,N,,원형
아보카도,아보카도,2,4,Y,CHP05403,樟梨,Persea americana,한자사전,아보카도→樟梨,0,Y,Y,"樟梨=Persea americana 학명 일치, 방제 0회",N,,원형
귀리,귀리,2,4,Y,CHP04951,燕麦,Avena sativa,한자사전,귀리→燕麦,0,Y,N,,N,,원형
아티초크,아티초크,2,4,Y,CHP00294,菜蓟,Cynara cardunculus,한자사전,아티초크→菜蓟,0,Y,N,,N,,원형
히솝오일,히솝 오일,1,4,N,,,,실패,,0,N,N,,N,,원형
세이지,세이지,2,4,N,,,,실패,,0,N,N,,N,,원형
계화,계화,2,4,Y,CHP01316,桂花,Sweet Osmanthus,한자사전,계화→桂花,0,Y,N,,N,,원형
렌틸콩,렌틸콩,2,4,N,,,,실패,,0,N,N,,N,,원형
대추,대추|홍대추,2,4,Y,CHP00608,大枣,Jujube,한자사전,대추→大枣,325,Y,N,,N,,동의어|원형
커피,커피,3,4,Y,CHP02062,咖啡,Coffea arabica,한자사전,커피→咖啡,0,Y,N,,N,,원형
화자오,화자오(산초),3,4,N,,,,실패,,0,N,N,,N,,괄호제거
시금치,시금치,2,4,Y,CHP00281,菠菜,Spinacia oleracea,한자사전,시금치→菠菜,0,Y,N,,N,,원형
베이킹소다,베이킹소다,1,3,N,,,,실패,,0,N,N,,N,,원형
베이킹파우더,베이킹파우더,1,3,N,,,,실패,,0,N,N,,N,,원형
다시,dashi|dashi stock|다시,2,3,N,,,,실패,,0,N,N,,N,,영문사전|원형
연근,연근,3,3,Y,CHP03057,藕蔤,Sacred Lotus,한자사전,연근→藕蔤,2,Y,N,,N,,원형
미림,미림,3,3,N,,,,실패,,0,N,N,,N,,원형
두부,tofu|두부,2,3,Y,CHP00838,豆腐,Soybean,한자사전,두부→豆腐,0,Y,N,,N,,영문사전|원형
사케,사케,2,3,N,,,,실패,,0,N,N,,N,,원형
화이트와인,화이트와인,3,3,N,,,,실패,,0,N,N,,N,,원형
옥수수,옥수수,1,3,N,,,,실패,,0,N,N,,N,,원형
대추야자,대추야자,1,3,N,,,,실패,,0,N,N,,N,,원형
파파야,파파야,1,3,Y,CHP00987,番木瓜,Carica papaya,한자사전,파파야→番木瓜,0,Y,N,,N,,원형
무화과,무화과,1,3,Y,CHP04368,无花果,Ficus carica,한자사전,무화과→无花果,1,Y,N,,N,,원형
포도,포도,1,3,Y,CHP03130,葡萄,Vitis vinifera,한자사전,포도→葡萄,14,Y,N,,N,,원형
파마산치즈,파마산치즈,3,3,N,,,,실패,,0,N,N,,N,,원형
피칸,피칸,2,3,N,,,,실패,,0,N,N,,N,,원형
호박,호박,2,3,Y,CHP02925,南瓜,Pumpkin,한자사전,호박→南瓜,1,Y,N,,N,,원형
페타치즈,페타치즈,3,3,N,,,,실패,,0,N,N,,N,,원형
수박,수박,3,3,Y,CHP04449,西瓜,Watermelon,한자사전,수박→西瓜,3,Y,N,,N,,원형
베이컨,베이컨,2,3,N,,,,실패,,0,N,N,,N,,원형
콜리플라워,콜리플라워,3,3,N,,,,실패,,0,N,N,,N,,원형
감초,감초,2,3,Y,CHP01118,甘草,Licorice Root,한자사전,감초→甘草,2278,Y,N,,N,,원형
